Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
35,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,5
37.3,98.6,68.4,85.3,37.5,16.9,2.34,9,695,3
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8,451,5
15.4,64.2,5.5,10.5,15.4,4.1,1,12.7,549,7
31,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,5
29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,631,3
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,7
30.2,87.8,3.4,15.9,36,14.2,1.47,7.3,399,5
28,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,7
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,7
22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818,3
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,5
36.2,87.2,2.4,17.5,50.9,31.5,3.04,5.1,937,1
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549,3
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685,1
23.2,57.5,17.8,26.2,11,2.9,1.19,10.4,500,7
30.5,89.7,117,138.7,40.6,33.9,2.22,6.4,574,1
24,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,5
32.1,73.6,39.4,54.8,39.5,6.8,2,4.2,493,3
14.1,54.5,3.6,8.3,17.4,7,0.99,10.1,238,7
27.6,52,48.9,53.6,28.7,5.1,1.65,5.6,364,5
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,7
31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488,3
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,5
31.1,56.4,10.7,17,12.9,5.1,1.07,10,572,7
28,55.4,3,15.1,22.8,21.8,1.76,5.1,405,5
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806,3
41.5,91.3,79.5,93.5,30,12.8,1.99,10.4,561,3
33.1,99.2,17.6,47.1,41.1,26.4,2.45,6.8,623,1
28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,5
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,5
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,5
24.5,65.2,8.3,14.3,15,5.4,1,11.2,368,7
29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,5
36.2,84.9,42.2,72,30.9,23.4,1.98,3.5,619,1
27,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,5
26.2,47.6,16.4,20.2,24,9.9,0.85,11.5,506,7
24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585,5
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,7
24.9,64.4,10.9,15.2,14,4.4,1.12,10.5,354,7
38.3,99,8.2,27.2,24.9,13.9,2.69,3.8,808,3
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,7
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12,500,7
32.5,75.1,24.9,36,25.8,6.3,1.69,6.4,516,5
25.1,59.5,6,11.3,25.8,0.7,0.9,10.7,231,7
32.9,49.6,24,28.5,22,8.8,1.64,5.3,518,5
28,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,5
26.1,48.5,5.3,10.5,18.4,5,0.99,10.4,547,7
28,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,3
37.8,79.1,63,85.1,52.6,20.1,2.6,6.5,778,1
31.6,102.7,80.5,96.9,35,1.7,2,4.4,630,3
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5,389,5
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,7
36.6,78.5,6,25.9,45.5,17.8,1.58,4,470,3
29.8,60.2,10.7,19.8,24.9,12.4,2,6.4,472,5
33.7,96.3,70.8,87.3,32.9,17,2.33,4.8,557,1
26.2,62,79.2,86,31.4,7.6,1.46,5.9,615,5
27.6,61.5,0,4.5,25.1,4.3,1.07,11,536,7
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,7
23.7,51.7,19.1,22.2,24,7,1.07,10.6,371,7
43.1,75.5,6.4,14.2,38.8,11,2.24,9,644,3
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,5
28.4,48,11.1,17.7,15.1,7.6,1.06,16.4,334,7
34.5,86.1,9,21.6,39.1,7.5,1.79,5.2,450,5
20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,7
30.9,92.2,10.7,19,38.1,9.6,2.55,4.8,429,3
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,7
28.8,76.6,124.1,135.5,32,10,2.02,5,566,3
36.4,80.3,103,106.4,26.5,22.3,2.38,3.7,844,1
29.8,75.8,1.1,19.5,29.7,4,1.78,6.3,402,5
24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,7
32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,5
31.6,97.6,85.9,101.9,45,25.8,1.82,7.4,804,3
23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,7
26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457,3
31.3,100.3,7,26.4,30.4,20.2,2.19,4.2,770,3
29.6,83,4,14.1,22.2,3.2,1.05,11.9,225,7
25.3,83.3,33.9,44,35.9,9.1,1.41,6.2,488,5
26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412,7
23.9,61.4,28.2,40.3,37,11.3,1.56,6.9,559,5
23.9,61.8,3.2,9.9,18.6,5.2,0.93,13.6,438,7
32.5,71.3,11.8,30.9,26.1,23.5,2.16,5.4,730,3
38.7,71.9,5.4,31,50.3,15.6,2.81,6.4,503,1
32.4,83.3,2.3,18.4,30.9,15.1,1.54,5,355,5
26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389,7
50.9,79.9,22.5,52,38.2,9,2.65,8.4,611,1
34.7,88.9,8.9,16.1,33.3,8.5,1.19,6,447,5
33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351,5
26,54.9,16.6,22.4,21.3,7,1.02,12.2,210,7
28.2,68.1,7.2,9.1,20.8,4.7,1.07,10.2,379,7
23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493,7
25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,7
22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212,7
33.5,75.7,2.3,18.1,29.4,10.1,1.45,6,633,5
47.2,78.4,17.9,46,42.9,21.1,2.36,2.8,517,1
35.8,60.1,2.9,13.9,22.2,14.5,1.59,7.7,661,5
29.5,72.7,9.3,25,21.2,9.7,1.59,7.5,404,5
31.7,47.3,1.2,6.9,11.5,5.5,1.18,15.7,451,7
21.5,73.3,1.8,8.5,18.6,8.3,0.94,13.1,207,7
40,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745,3
39.1,82.4,24.3,49.8,28.2,11.5,2.03,8.5,818,3
27.2,43.8,18.4,23.1,21.5,2.6,1.03,12.1,253,7
39.6,96.2,47.1,65.4,35.8,17.1,2.03,5.2,661,3
40.2,91.9,22.3,34.2,43.7,17.4,2.07,3.1,900,1
26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576,5
47.4,93.1,72.7,96.6,34.3,14.9,2.54,5.7,797,1
29.7,74.4,0.6,6,22.4,3.5,0.74,11.6,583,7
25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473,3
25,75.7,4.7,9.3,21.2,5.2,1.15,16,541,7
30.8,67.6,6,15.4,29.2,6,1.42,8.7,564,5
30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696,5
21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381,7
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,5
24.1,47.5,22.8,26,26.5,4.1,0.91,12.2,406,7
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629,5
25.8,76.6,8.6,16.5,22.4,6.2,0.99,16.7,514,7
24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,7
23.1,100.8,7.4,30,28.5,16.3,1.8,7.2,711,3
54.6,90.7,48.9,62.9,30.1,11.5,2.74,3.7,617,1
35.9,87,26.4,34.1,29.2,17.2,1.33,6.5,619,5
30.5,75.1,21.5,34,25.6,7.6,1.21,6.1,401,5
32,48.8,0.7,15.8,16.9,8.6,1.65,5.2,662,5
28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271,7
31.2,75.9,57.6,80.4,38.9,28.6,2.15,3.4,463,3
27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629,5
42.7,63.3,82.1,103.4,45.4,29.3,2.26,7.4,747,3
30.2,77.2,34.4,44,33.6,12.7,1.34,6.4,372,5
36,70.7,69.5,78.1,29.1,16.2,2.28,7.2,420,3
36.5,103.6,19.1,50.4,49.3,7.4,2.15,3.3,879,1
26.3,54.7,2,8.2,27.9,3.4,1.05,17,330,7
53.1,70.2,60.3,81.9,32.2,16,2.28,2.7,526,1
26.5,52.8,1.2,10,26.5,3.4,0.91,12.1,377,7
20.3,66.8,18.9,21.1,25.5,5,0.96,11.3,416,7
30,66.1,17.3,25.3,30.5,6,1.55,8,482,5
32,79,117.8,127.8,39.4,28.4,2.75,9.2,774,1
26.2,41,0.3,6.4,23.4,7.3,1.05,10.5,432,7
24.6,46.5,5.9,13,14.2,6.7,0.96,10.5,547,7
24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300,7
22.7,70.9,15.8,19.6,17.4,5.6,0.99,11.4,516,7
23.8,57.9,21.9,27.3,21.9,4.3,1.02,11.1,336,7
24.3,69.1,60.1,76.5,21.4,9.2,1.44,5.7,512,5
32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,5
29,51.7,8.4,13,16.5,5,1.01,10.1,226,7
27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,7
24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355,7
21.9,77.4,21.1,27.8,21.1,4.5,1.03,10,384,7
23.7,75.4,8.4,15,24.2,2.6,1.01,11.5,275,7
26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303,7
32.8,81,13.6,22.2,35.2,7.3,1.31,9.1,534,5
28.9,109.5,3.6,21.7,62.1,13.5,2.35,2.7,678,1
29.7,80.8,7.3,14.8,30.4,7.2,1.73,8.4,606,5
20,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407,7
32.9,66.9,5.2,8.6,30.6,14,1.47,10.5,485,5
21.8,69,0.7,7.9,10.2,6.3,0.95,11.6,489,7
20.5,58.3,1.8,6.7,14.6,4.8,0.78,16,260,7
25.4,59.1,16,16.6,15.2,6.8,1.04,10.5,439,7
22.2,74,90,99.8,29.1,10.7,1.94,5.2,573,3
40.6,95.1,37.4,46.7,42.9,21.3,2.16,2.8,679,1
33.2,60,54.5,65.5,20.2,7.9,1.42,9,418,5
28.5,69,16.3,25.3,23,7.7,1.71,5.5,344,5
30.3,86.7,6.2,30.2,36.5,17.8,2.31,2.9,465,1
34.9,96.2,48.5,66.5,29,15.2,2.4,6,569,3
28,76.6,24.8,35.9,28.1,13.4,1.53,7.4,440,5
27,92.6,9.9,20.1,24.3,11.1,1.19,6.2,453,5
24.1,65.6,0.2,7.1,24.7,6.1,1.1,13.2,370,7
34,63.3,3,23.6,28.6,14.2,2.07,10.1,548,3
25.7,69.3,64.5,78.8,26.5,10.3,1.87,12.2,579,3
23.5,62.5,1.8,7.3,25.2,3.4,1.16,11.7,501,7
22.1,50.4,4,11.5,14.3,9.7,0.95,13.6,466,7
29.6,44.2,24.7,27.3,27.5,7.7,1.01,10.5,315,7
38.8,90.1,63.2,69.5,44.7,23.5,2.35,3.5,771,1
29.8,62.8,22.2,32.8,36.9,1.1,1.55,5,437,5
26.6,54.5,3.9,10.3,24.2,5.5,1.09,10.3,580,7
35.5,84.7,9.4,20,25.3,14.9,1.55,6.7,626,5
37.1,72.4,60.3,68.4,35.5,14,2.17,3.4,580,3
35.4,65,22.6,46.2,37.5,23,2.01,3.7,509,3
42.2,66,33.3,51.4,48,12.8,2.54,3.6,709,1
24.7,79.4,5.9,9,19.3,0.7,0.91,10.6,219,7
28.7,63.6,4.2,10.2,20.8,3.2,0.92,11.6,487,7
20.8,68,7.4,11.4,10.6,7.4,0.95,10.8,316,7
21.7,45.4,19.9,25.3,22.8,3.9,0.78,13.8,385,7
34.4,85,31.7,53.6,50.5,35.4,2.5,3.8,822,1
19.4,70.6,8.2,14.2,21.1,0.4,0.99,10.2,262,7
26,68.3,7.8,13.9,11.7,2.7,0.99,12.3,307,7
50.3,97.4,17.5,38.7,46.5,32.9,2.49,4.8,588,1
20.5,80,1,3.2,23.6,2.8,0.91,13.4,276,7
36.7,75.1,19.7,40.7,38.1,26.6,2.67,11.5,875,1
24.3,44.2,9.5,12.5,18.8,-0.2,0.83,10.6,341,7
34,73.4,3.5,18.7,29.6,8.2,1.38,6.5,522,5
37,93.9,17,34.1,33.3,11.4,1.86,3.1,684,1
29.2,60.6,1.7,16,32.7,13.3,1.91,7.2,637,5
23.1,43.1,4.1,7.9,22.7,8,1.03,10.1,499,7
19.6,55.5,0.1,3.9,18.9,5.3,1.1,10.6,198,7
26.3,66.7,1.3,5.7,16.4,5.9,0.97,15.6,205,7
24,56.9,2.9,6.9,13,8.2,1.14,11.3,360,7
24.3,48.2,16.8,25.9,19.4,3.9,0.97,14.8,544,7
25.3,77,4.6,11.2,20.1,6.4,1.03,11.3,282,7
27.8,78.1,1.1,19.8,26.7,10.7,1.28,9.3,376,5
44,80.4,18,29.5,27.9,8.5,2.12,4.1,685,3
22.6,46.7,19.2,26.8,26.5,6.7,0.82,13.7,354,7
30.8,47.7,11,16.4,25.7,5.5,1.11,10.1,332,7
22.5,68.9,3.9,8.4,12.8,4.8,1.08,10.5,447,7
43.3,59.3,62.2,74.7,33,19.2,2.44,3.6,801,3
26.7,54.1,4.7,16.1,21,6.3,1.24,5.7,613,5
27.3,67.7,2.4,9.2,24.6,7.6,1.13,11.1,249,7
26.3,47.2,3,5.5,24.7,0.7,1.08,10.7,368,7
38.1,61.3,8.5,27.1,21.9,13,1.61,5.5,343,5
44.8,113,30.2,52,41.5,23.3,2.53,3.3,677,1
26.6,55.2,9.7,11.1,23.5,15.7,1.87,7.1,576,5
35.7,49.1,18.1,26.5,29.1,13.4,2.24,3.9,649,3
30.6,72.5,7.3,12.3,28.1,10,1.68,5.4,555,5
33.4,86.5,169.2,194.7,48.7,4.6,2.36,6.5,737,3
27.8,74.4,13.2,22.2,22.8,6.5,1.69,5.4,422,5
30.7,76.4,18.3,31.9,27.6,11.6,1.54,5.9,516,5
23.5,67.6,0.2,4.3,24.5,6.4,1.19,14.6,412,7
39,87.2,32.8,43.8,29.9,9,1.03,7.6,482,5
33.5,43.8,46.5,61.9,22.9,5.2,1.71,10.8,523,5
40.6,85.2,31.6,44.8,30.5,19,2.66,4.5,554,3
21.8,53.6,1.9,13.1,20.8,9,1.43,5,309,5
27.4,64.6,21.8,37.7,22.3,5.6,1.45,6.4,465,5
31.3,65.1,26,33.8,27.3,22,2.01,4.4,631,3
29.9,86.8,33.4,41.3,20.6,8.3,1.46,10.6,295,5
30.6,93.2,5.5,9.5,28.7,15.3,1.41,5.9,393,5
36.6,68.4,28.3,42.4,44.2,6.6,2.11,3.8,726,3
28.2,50.1,8.9,16.9,17.6,0.8,1.05,10.4,291,7
42.1,87,83.5,97.7,42.5,5.3,2.18,11.6,712,3
25.6,49.2,1.5,5.8,10.9,3.8,1.04,15.7,293,7
35.9,98.2,11.4,18.9,54.1,32.5,2.71,3.9,560,1
31.5,71.1,20.4,35.1,39.2,10.9,2.11,10.5,562,3
41.1,71.6,6.9,30.1,37.9,8.3,1.8,3.8,713,3
25.6,66.5,8.5,14.5,12.9,3.7,0.94,13.2,354,7
24.9,47.8,3.3,7.8,17.1,6.7,1.05,13.4,581,7
24.8,58.3,13.8,19.1,14.5,9.5,1,12.2,437,7
27.6,73,9.8,18.7,29.8,19.9,1.62,4.6,705,3
32.4,80.4,36.4,52.2,36.8,21.1,1.76,9,643,3
34.4,72.7,26.3,39.6,29.3,14.9,1.51,9,439,5
27.8,49.2,9.9,14.9,23.8,7.4,1.04,10.5,441,7
